usage_id,customer_id,date,product_type,action_type,amount,is_mobile,time_on_app_minutes
def90783-0811-4df7-9093-17dd3dc1dab6,f40d9c41-799a-4345-be64-e517db5f84ca,2024-01-23,Loan,Repayment,52.96,FALSE,18
b3ff124f-3dfe-46c8-87cf-03c56c64fe05,754d6947-0d5f-44e0-b4db-451b14e530aa,2024-03-15,Savings,Transfer,277.47,TRUE,9
ede5645e-825e-4a7a-8389-df3770f97df3,3fda53f6-b99e-443d-9bba-394a51b65ffa,2024-02-03,Savings,Deposit,64.18,FALSE,2
3975f66f-7c77-493f-ba46-eaff3b394b1d,4cc07676-27f6-44e2-a022-2a794bd5b345,2024-01-05,Credit Card,Deposit,195.99,TRUE,25
2a453b34-98a9-4444-819b-efa3c9db3333,436c7271-4af5-4646-8575-82287c013bed,2024-01-14,Savings,Transfer,16.93,TRUE,20
0e10e60e-907b-42d0-a7f9-c4ab096afb14,c36a63ef-5f73-451f-b477-ac2283c552b6,2024-03-17,Credit Card,Withdrawal,120.37,FALSE,12
1d5af868-bbe5-4341-8d11-0f16f7cc7f7b,426ba4fa-9ace-4edd-805e-b88ac3f8289e,2024-02-25,Loan,Repayment,268.72,TRUE,29
12c926a3-d15d-4de9-ae05-b11ae77164a3,f6b005ea-3260-4f65-bf0c-433d98c3bb92,2024-02-14,Loan,Withdrawal,232,TRUE,2
ef8ee0d1-a6ed-4feb-b43f-dcde1fbe015b,bdbe44aa-6b3a-44b5-b751-d09e75fc6987,2024-02-10,Loan,Repayment,337.56,TRUE,10
cb395d48-0924-4581-ada5-69ed648851da,503bc695-e040-462b-9875-afd6f40e8582,2024-02-25,Savings,Repayment,419.85,TRUE,1
37e42da0-c119-44f9-8dfd-7824a159b90b,23e8fea9-bd20-4a92-bc50-d24c81cdb4dc,2024-03-18,Credit Card,Withdrawal,296.72,TRUE,4
de7ed69f-0d64-4f5c-a0f3-5f9812d823e9,1dad97a3-14be-456f-a828-2c472916a32f,2024-03-06,Loan,Transfer,222.7,TRUE,25
0b5b0a2b-357d-49c0-bf3c-c6f936bcfb1f,3ad98fc5-608a-498b-9e8f-032824bfe75a,2024-01-15,Credit Card,Transfer,6.45,FALSE,12
af6e3b86-095d-4b50-95a7-5bf13f4bc93b,e91d2bfb-1609-4290-8934-f0a30ccda5a4,2024-02-19,Credit Card,Repayment,153.13,FALSE,9
d4f03373-e887-44af-8bcb-43f77a8707e4,c6da6f82-0681-453d-af8c-4ba7cefbf96d,2024-03-14,Loan,Transfer,7.69,FALSE,4
aa31b7fe-6950-461f-89d3-a940cf647dc9,97cf5bb3-a0c6-4691-862a-144c7339a731,2024-01-25,Loan,Repayment,330.12,TRUE,9
e2775b2a-3cae-432d-929f-edb348ea6e52,947eab59-0103-4929-ac15-ecb2b82e30e9,2024-02-02,Credit Card,Transfer,77.35,TRUE,28
2c538d0c-e13b-42e5-9e03-eed6c07ce3b2,20d834a4-f7cd-47f0-b951-84af20b8f1f0,2024-01-06,Loan,Repayment,165.3,TRUE,6
4e10cecf-7f32-4275-b883-da7cba8d692f,5b992c6f-8a90-411c-90a5-7cca60394c59,2024-03-31,Credit Card,Transfer,65.55,FALSE,1
4f1f502e-37e8-4b10-bdb7-589870b45bd7,354a8a72-0397-49b3-beeb-0277983cfa38,2024-02-25,Credit Card,Deposit,305.11,TRUE,10
e11372fb-84c6-4b9b-a053-d0156c2b4169,4e5e5d9e-c0b1-415f-87ed-9ea495065c24,2024-01-01,Loan,Withdrawal,435.19,FALSE,29
7ca69118-b19f-4381-8aaa-43f5b8f0e782,476f9367-587e-4182-8102-a3ca5443d83c,2024-03-07,Savings,Deposit,101.71,TRUE,14
6079e95b-7d36-4dbe-8b3e-a64727097da5,d44274f1-203b-435d-a4d1-ddbd1494cac5,2024-03-09,Loan,Withdrawal,397.44,TRUE,22
92d2440f-621b-42d4-a9a6-44afd96ab7dc,c2d10d8d-d41a-463b-aa64-22ce6262af58,2024-03-28,Savings,Withdrawal,62.14,TRUE,25
eac2a8d4-78c5-43cd-b62b-71750a5ae574,75dfc50d-715a-457e-8172-854d9d937909,2024-03-26,Credit Card,Repayment,153,FALSE,29
2b194919-7fc3-49a1-afd2-5ae1f8bceb0f,ed28b7fc-35e3-4fe8-bf6a-0ad871495096,2024-01-26,Credit Card,Withdrawal,391.46,TRUE,18
4e77c51f-5432-4812-a51c-a27b0fe90d88,3fda53f6-b99e-443d-9bba-394a51b65ffa,2024-02-16,Savings,Deposit,78.87,FALSE,6
a6f21de6-2c7d-46aa-a351-8dc9ad4ec854,a13759e7-ebdf-4d6a-89ec-498aabbf3de1,2024-02-25,Credit Card,Deposit,616.01,TRUE,18
b1368fc9-a6c2-40f7-9d12-8324331b143f,40531000-4408-4b2e-9383-e1cb8e8ad1e9,2024-01-09,Savings,Transfer,25.99,TRUE,20
3bd830a1-96dd-427a-8ab8-3ee54c01daf5,5f801523-89dc-4780-9df7-57eae61a6d33,2024-03-26,Savings,Deposit,3.69,FALSE,16
10a92032-659f-4ac6-8d8c-d87d34a53acd,bc553463-d6ff-43ee-ab2c-fbf7a8f72373,2024-02-12,Credit Card,Transfer,468.96,TRUE,15
f3699cbd-ee9d-489b-bc89-5ec319c3ad34,fa1050cc-bbf9-4409-97b6-58d9dec6a451,2024-03-20,Savings,Withdrawal,14.22,TRUE,16
